time	V(drain)	Id(M1)
0.000000000000000e+000	1.750000e+000	1.810634e-004
9.765624960978488e-016	1.750000e+000	1.810422e-004
1.953124992195698e-015	1.750000e+000	1.810351e-004
7.995373883197839e-010	1.605536e+000	1.798646e-004
1.599072823514576e-009	1.462424e+000	1.784847e-004
2.398608258709367e-009	1.320662e+000	1.768955e-004
3.198143693904159e-009	1.180251e+000	1.750969e-004
3.997679129098951e-009	1.041191e+000	1.730890e-004
4.797214564293742e-009	9.034812e-001	1.708718e-004
5.596749999488532e-009	7.671226e-001	1.684452e-004
5.847866070917103e-009	7.246275e-001	1.676012e-004
6.098982142345675e-009	6.827746e-001	1.661452e-004
6.350098213774246e-009	6.415639e-001	1.640771e-004
6.601214285202817e-009	6.009953e-001	1.613971e-004
6.852330356631388e-009	5.610689e-001	1.581052e-004
7.103446428059959e-009	5.217847e-001	1.542012e-004
7.354562499488530e-009	4.831427e-001	1.496852e-004
7.591727678059961e-009	4.480723e-001	1.440922e-004
7.828892856631391e-009	4.145459e-001	1.382238e-004
8.066058035202821e-009	3.825634e-001	1.320803e-004
8.303223213774251e-009	3.521250e-001	1.256615e-004
8.540388392345681e-009	3.232306e-001	1.189676e-004
8.777553570917111e-009	2.958801e-001	1.119983e-004
9.014718749488542e-009	2.700737e-001	1.047539e-004
9.293736606631400e-009	2.422089e-001	9.641306e-005
9.572754463774261e-009	2.164017e-001	8.841143e-005
9.851772320917119e-009	1.926520e-001	8.074901e-005
1.013079017805998e-008	1.709598e-001	7.342579e-005
1.040980803520284e-008	1.513252e-001	6.644177e-005
1.068882589234570e-008	1.337481e-001	5.979696e-005
1.096784374948856e-008	1.182285e-001	5.349135e-005
1.126081249948856e-008	1.034447e-001	4.750964e-005
1.155378124948856e-008	9.033747e-002	4.204543e-005
1.184674999948856e-008	7.875636e-002	3.708898e-005
1.213971874948857e-008	6.855523e-002	3.262140e-005
1.243268749948857e-008	5.959448e-002	2.861713e-005
1.272565624948857e-008	5.174271e-002	2.504607e-005
1.301862499948857e-008	4.487776e-002	2.187548e-005
1.331159374948857e-008	3.888726e-002	1.907148e-005
1.360456249948858e-008	3.366876e-002	1.660025e-005
1.389753124948858e-008	2.912964e-002	1.442889e-005
1.419049999948858e-008	2.518666e-002	1.252609e-005
1.448346874948858e-008	2.176549e-002	1.086250e-005
1.477643749948858e-008	1.880006e-002	9.410990e-006
1.506940624948858e-008	1.623193e-002	8.146768e-006
1.536237499948858e-008	1.400958e-002	7.047353e-006
1.565534374948858e-008	1.208773e-002	6.092538e-006
1.594831249948857e-008	1.042670e-002	5.264262e-006
1.624128124948857e-008	8.991812e-003	4.546477e-006
1.653424999948857e-008	7.752823e-003	3.924982e-006
1.682721874948857e-008	6.683386e-003	3.387265e-006
1.712018749948856e-008	5.760598e-003	2.922334e-006
1.741315624948856e-008	4.964573e-003	2.520564e-006
1.770612499948856e-008	4.278065e-003	2.173542e-006
1.799909374948856e-008	3.686129e-003	1.873933e-006
1.829206249948855e-008	3.175830e-003	1.615353e-006
1.858503124948855e-008	2.735978e-003	1.392253e-006
1.887799999948855e-008	2.356898e-003	1.199816e-006
1.917096874948854e-008	2.030231e-003	1.033867e-006
1.946393749948854e-008	1.748760e-003	8.907881e-007
1.975690624948854e-008	1.506252e-003	7.674489e-007
2.004987499948854e-008	1.297328e-003	6.611418e-007
2.034284374948853e-008	1.117350e-003	5.695266e-007
2.063581249948853e-008	9.623158e-004	4.905816e-007
2.092878124948853e-008	8.287745e-004	4.225610e-007
2.117989732091710e-008	7.321295e-004	3.733172e-007
2.143101339234566e-008	6.443327e-004	3.285784e-007
2.168212946377424e-008	5.653843e-004	2.883444e-007
2.193324553520280e-008	4.952841e-004	2.526153e-007
2.218436160663137e-008	4.340322e-004	2.213911e-007
2.243547767805994e-008	3.816286e-004	1.946718e-007
2.268659374948851e-008	3.380732e-004	1.724574e-007
2.300746428520279e-008	2.893161e-004	1.475914e-007
2.332833482091708e-008	2.458296e-004	1.254128e-007
2.364920535663136e-008	2.076138e-004	1.059214e-007
2.397007589234564e-008	1.746686e-004	8.911729e-008
2.429094642805992e-008	1.469941e-004	7.500049e-008
2.461181696377421e-008	1.245903e-004	6.357098e-008
2.493268749948849e-008	1.074571e-004	5.482876e-008
2.540701785663134e-008	8.626162e-005	4.401468e-008
2.588134821377419e-008	6.795417e-005	3.467399e-008
2.635567857091705e-008	5.253472e-005	2.680670e-008
2.683000892805990e-008	4.000328e-005	2.041279e-008
2.730433928520275e-008	3.035983e-005	1.549229e-008
2.777866964234561e-008	2.360439e-005	1.204518e-008
2.825299999948846e-008	1.973694e-005	1.007146e-008
2.932721874948848e-008	1.332450e-005	6.799304e-009
3.040143749948849e-008	8.129932e-006	4.148605e-009
3.147565624948851e-008	4.153228e-006	2.119360e-009
3.254987499948853e-008	1.394391e-006	7.115694e-010
3.362409374948855e-008	-1.465777e-007	-7.476772e-011
3.469831249948857e-008	-4.696790e-007	-2.396509e-010
3.577253124948859e-008	4.250873e-007	2.169198e-010
9.827253124949010e-008	1.613625e-019	0.000000e+000
9.993268749949014e-008	1.467729e-019	0.000000e+000
1.000000000000000e-007	1.120705e-019	0.000000e+000
