time	V(drain)	Id(M1)
0.000000000000000e+000	6.000000e-001	5.829705e-006
9.765624940649698e-012	5.999431e-001	5.828877e-006
1.953124988129940e-011	5.998862e-001	5.828506e-006
5.731026750884139e-009	5.668874e-001	5.746183e-006
1.144252225188698e-008	5.344847e-001	5.663481e-006
1.715401775288982e-008	5.026780e-001	5.580398e-006
2.286551325389266e-008	4.714674e-001	5.496936e-006
2.857700875489550e-008	4.408529e-001	5.413094e-006
3.428850425589834e-008	4.108343e-001	5.328872e-006
3.999999975690116e-008	3.814119e-001	5.244271e-006
7.999999951380232e-008	1.867015e-001	4.419210e-006
1.030809100672356e-007	9.070065e-002	3.409194e-006
1.176086064763863e-007	4.630062e-002	2.314097e-006
1.293933511106253e-007	2.334000e-002	1.356405e-006
1.383485034811654e-007	1.281640e-002	7.982887e-007
1.437316548759904e-007	8.917929e-003	5.686955e-007
1.497536515938213e-007	6.082473e-003	3.933469e-007
1.566671876653760e-007	3.904141e-003	2.552138e-007
1.646653246809769e-007	2.318290e-003	1.527684e-007
1.733712126909021e-007	1.308283e-003	8.667003e-008
1.836963688463074e-007	6.660770e-004	4.427500e-008
1.957489423505398e-007	3.031847e-004	2.019393e-008
2.110232794967010e-007	1.130214e-004	7.536276e-009
2.304313656337683e-007	3.209639e-005	2.141376e-009
2.577326246861569e-007	5.418149e-006	3.615631e-010
9.681874351519838e-004	0.000000e+000	0.000000e+000
9.994374351519812e-004	0.000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000	0.000000e+000
