time	V(drain)	Id(M1)
0.000000000000000e+000	1.900000e+000	2.953985e-004
9.765624940649698e-012	1.897117e+000	2.953003e-004
1.953124988129940e-011	1.894233e+000	2.952415e-004
3.738839262991600e-010	1.789489e+000	2.941347e-004
7.282366027170205e-010	1.685905e+000	2.926203e-004
1.082589279134881e-009	1.583479e+000	2.906983e-004
1.436941955552742e-009	1.482213e+000	2.883686e-004
1.791294631970602e-009	1.382106e+000	2.856312e-004
2.145647308388463e-009	1.283159e+000	2.824863e-004
2.499999984806323e-009	1.185370e+000	2.789337e-004
4.999999969612645e-009	5.422649e-001	2.215728e-004
6.137629812060423e-009	3.042492e-001	1.654637e-004
6.997693989150666e-009	1.828962e-001	1.127183e-004
8.039334002107475e-009	8.958439e-002	6.067955e-005
8.576431998946856e-009	5.899027e-002	4.150724e-005
9.055275799482353e-009	4.185785e-002	2.994285e-005
9.607583947353199e-009	2.820905e-002	2.043564e-005
1.019579777101783e-008	1.828006e-002	1.337079e-005
1.074852564741318e-008	1.206021e-002	8.876450e-006
1.128174327981713e-008	8.074841e-003	5.966633e-006
1.180082748552432e-008	5.489298e-003	4.066299e-006
1.239273107277734e-008	3.557455e-003	2.640035e-006
1.306290299243268e-008	2.178041e-003	1.618483e-006
1.385257751209881e-008	1.222488e-003	9.092631e-007
1.476496015218572e-008	6.273900e-004	4.669221e-007
1.587813426435455e-008	2.797366e-004	2.082642e-007
1.724885637055904e-008	1.039174e-004	7.738223e-008
1.905672688115686e-008	2.850025e-005	2.122483e-008
2.154479343941696e-008	4.614029e-006	3.436321e-009
2.539339169232243e-008	1.370445e-007	1.020684e-010
9.646569030393675e-004	7.077672e-016	0.000000e+000
9.998131530393650e-004	-8.038292e-013	-7.455344e-016
1.000000000000000e-003	-9.946696e-013	-8.881784e-016
