time	V(drain)	Id(M1)
0.000000000000000e+000	1.400000e+000	1.222792e-004
9.765624940649698e-012	1.398806e+000	1.222543e-004
1.953124988129940e-011	1.397612e+000	1.222388e-004
7.310267812714919e-010	1.310881e+000	1.215426e-004
1.442522312661685e-009	1.225008e+000	1.207176e-004
2.154017844051877e-009	1.139995e+000	1.197636e-004
2.865513375442070e-009	1.055842e+000	1.186807e-004
3.577008906832262e-009	9.725476e-001	1.174689e-004
4.288504438222455e-009	8.901128e-001	1.161282e-004
4.999999969612645e-009	8.085375e-001	1.146586e-004
8.341424212450691e-009	4.453317e-001	9.885719e-005
1.030975696178130e-008	2.632717e-001	7.773352e-005
1.179954152564650e-008	1.633717e-001	5.594949e-005
1.370883652446054e-008	7.825051e-002	3.034685e-005
1.463069482984815e-008	5.158957e-002	2.102444e-005
1.542865194809510e-008	3.701391e-002	1.539777e-005
1.636463679448170e-008	2.513475e-002	1.062334e-005
1.741947559135460e-008	1.596669e-002	6.835952e-006
1.837017312191247e-008	1.047642e-002	4.522100e-006
1.929637435748739e-008	6.955319e-003	3.017585e-006
2.017336179189491e-008	4.750917e-003	2.067635e-006
2.126846233278982e-008	2.971673e-003	1.296415e-006
2.244543089429802e-008	1.788416e-003	7.815290e-007
2.390512788903688e-008	9.560686e-004	4.182900e-007
2.552906750566532e-008	4.747563e-004	2.078643e-007
2.761571269539012e-008	1.959444e-004	8.582789e-008
3.013149334857622e-008	6.695945e-005	2.933651e-008
3.363727120409737e-008	1.549614e-005	6.789915e-009
3.846656710073518e-008	1.728040e-006	7.572048e-010
9.648673111729717e-004	4.515702e-017	0.000000e+000
9.990469986729692e-004	7.859730e-017	0.000000e+000
1.000000000000000e-003	4.518196e-015	0.000000e+000
