time	V(drain)	Id(M1)
0.000000000000000e+000	8.000000e-001	3.795091e-005
9.765624940649698e-012	7.996295e-001	3.794055e-005
1.953124988129940e-011	7.992591e-001	3.793527e-005
1.445312491216156e-009	7.455133e-001	3.755711e-005
2.871093732551012e-009	6.925371e-001	3.713910e-005
4.296874973885869e-009	6.403305e-001	3.668124e-005
5.722656215220724e-009	5.888935e-001	3.618353e-005
7.148437456555580e-009	5.382261e-001	3.564596e-005
8.574218697890438e-009	4.883283e-001	3.506854e-005
9.999999939225290e-009	4.392000e-001	3.445127e-005
1.617492834500795e-008	2.385767e-001	2.940330e-005
1.997049526759789e-008	1.343350e-001	2.284726e-005
2.267487713107634e-008	8.096966e-002	1.632859e-005
2.617090756689804e-008	3.607731e-002	8.349700e-006
2.772527365952895e-008	2.345820e-002	5.709970e-006
2.901100622770712e-008	1.704040e-002	4.223391e-006
3.057236935808574e-008	1.161392e-002	2.919574e-006
3.231692357187142e-008	7.439109e-003	1.891715e-006
3.392313863411605e-008	4.909111e-003	1.257367e-006
3.576065247959325e-008	3.072337e-003	7.908391e-007
3.775202372279672e-008	1.848621e-003	4.774623e-007
4.017488044107298e-008	9.991818e-004	2.586747e-007
4.292358687252861e-008	4.958541e-004	1.285607e-007
4.638223256686090e-008	2.074052e-004	5.382091e-008
5.059826446502342e-008	7.150698e-005	1.856448e-008
5.636579738405320e-008	1.704449e-005	4.425976e-009
6.438474023476195e-008	2.028258e-006	5.267262e-010
9.664753129442028e-004	-1.402369e-018	0.000000e+000
9.996784379442004e-004	7.268568e-018	0.000000e+000
1.000000000000000e-003	1.404778e-017	0.000000e+000
