time	V(drain)	Id(M1)
0.000000000000000e+000	1.500000e+000	1.990335e-004
9.765624940649698e-012	1.498057e+000	1.989688e-004
1.953124988129940e-011	1.496114e+000	1.989308e-004
3.738839262991600e-010	1.425728e+000	1.980901e-004
7.282366027170205e-010	1.355867e+000	1.971541e-004
1.082589279134881e-009	1.286532e+000	1.961229e-004
1.436941955552742e-009	1.217723e+000	1.949965e-004
1.791294631970602e-009	1.149441e+000	1.937748e-004
2.145647308388463e-009	1.081684e+000	1.924578e-004
2.499999984806323e-009	1.014454e+000	1.910456e-004
4.999999969612645e-009	5.592588e-001	1.690329e-004
6.444192851444981e-009	3.286730e-001	1.367251e-004
7.472087404200030e-009	2.063700e-001	1.014300e-004
8.870242362006123e-009	9.523857e-002	5.404666e-005
9.599138534427600e-009	5.821091e-002	3.522546e-005
1.013633410547396e-008	4.145865e-002	2.566105e-005
1.074654884871101e-008	2.847305e-002	1.790394e-005
1.145303910746787e-008	1.814569e-002	1.155993e-005
1.209375295782136e-008	1.189626e-002	7.642626e-006
1.271913137945262e-008	7.880655e-003	5.089633e-006
1.330839104445566e-008	5.369679e-003	3.479220e-006
1.399996760134088e-008	3.447938e-003	2.239381e-006
1.476526096100742e-008	2.110469e-003	1.373054e-006
1.568657886766258e-008	1.170472e-003	7.624184e-007
1.673183995576635e-008	5.987770e-004	3.903321e-007
1.803087957965330e-008	2.625625e-004	1.712396e-007
1.960985465089163e-008	9.644212e-005	6.291442e-008
2.172958774184965e-008	2.563560e-005	1.672553e-008
2.462423536589170e-008	3.929293e-006	2.563734e-009
2.919378854820620e-008	8.603580e-008	5.613804e-011
9.649287000948053e-004	3.417405e-016	0.000000e+000
9.991083875948027e-004	7.070795e-015	5.835900e-018
1.000000000000000e-003	8.380623e-014	5.551115e-017
