time	V(drain)	Id(M1)
0.000000000000000e+000	7.500000e-001	2.886115e-005
9.765624940649698e-012	7.497182e-001	2.885351e-005
1.953124988129940e-011	7.494365e-001	2.884974e-005
1.445312491216156e-009	7.084671e-001	2.859289e-005
2.871093732551012e-009	6.680738e-001	2.831796e-005
4.296874973885869e-009	6.282566e-001	2.802495e-005
5.722656215220724e-009	5.890154e-001	2.771387e-005
7.148437456555580e-009	5.503503e-001	2.738471e-005
8.574218697890438e-009	5.122612e-001	2.703747e-005
9.999999939225290e-009	4.747483e-001	2.667216e-005
1.999999987845058e-008	2.267198e-001	2.214199e-005
2.510075534678057e-008	1.201607e-001	1.697559e-005
2.856647867555919e-008	6.936734e-002	1.183760e-005
3.287080645010290e-008	2.943403e-002	5.788247e-006
3.465256846333718e-008	1.923204e-002	3.965911e-006
3.614360066405948e-008	1.406903e-002	2.948367e-006
3.800502812278534e-008	9.564023e-003	2.030731e-006
4.004180426507906e-008	6.173880e-003	1.324634e-006
4.203403748132056e-008	4.011821e-003	8.665948e-007
4.435504268566786e-008	2.438643e-003	5.292878e-007
4.689618951377456e-008	1.412105e-003	3.074716e-007
4.998906971224480e-008	7.288184e-004	1.590327e-007
5.355240222073898e-008	3.395211e-004	7.418287e-008
5.809399290524529e-008	1.298658e-004	2.839546e-008
6.377071152666834e-008	3.887315e-005	8.502870e-009
7.175359622855526e-008	7.233822e-006	1.582521e-009
1.039248849077850e-007	-3.392774e-008	-7.423753e-012
9.671968958926908e-004	-1.478264e-018	0.000000e+000
9.994234583926883e-004	-2.748061e-018	0.000000e+000
1.000000000000000e-003	-5.221779e-018	0.000000e+000
