time	V(drain)	Id(M1)
0.000000000000000e+000	5.000000e-001	1.123054e-006
9.765624940649698e-012	4.999890e-001	1.122914e-006
1.953124988129940e-011	4.999781e-001	1.122862e-006
4.573102650778532e-008	4.501820e-001	1.085589e-006
9.144252176568933e-008	4.019754e-001	1.048682e-006
1.371540170235934e-007	3.553583e-001	1.012139e-006
1.828655122814974e-007	3.103307e-001	9.759618e-007
2.285770075394014e-007	2.668927e-001	9.401495e-007
2.742885027973054e-007	2.250441e-001	9.047022e-007
3.199999980552093e-007	1.847850e-001	8.696200e-007
4.324634208653895e-007	9.202277e-002	7.257326e-007
5.052312825509923e-007	4.317667e-002	5.303077e-007
5.494176370244800e-007	2.280268e-002	3.549077e-007
6.006371452602949e-007	8.767121e-003	1.596843e-007
6.226665900408453e-007	5.336680e-003	1.022841e-007
6.437629294523234e-007	3.556647e-003	6.929414e-008
6.710301835470708e-007	2.113222e-003	4.169102e-008
7.020831700461727e-007	1.149469e-003	2.288222e-008
7.387169727312212e-007	5.568202e-004	1.114788e-008
7.807634077365813e-007	2.419831e-004	4.860386e-009
8.342696132192298e-007	8.508321e-005	1.711816e-009
9.032643624383140e-007	2.191024e-005	4.411757e-010
1.003104393140719e-006	2.955437e-006	5.952753e-011
9.697943350825338e-004	0.000000e+000	0.000000e+000
9.990912100825314e-004	0.000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000	0.000000e+000
