time	V(drain)	Id(M1)
0.000000000000000e+000	1.750000e+000	2.597491e-004
9.765624940649698e-012	1.747464e+000	2.596633e-004
1.953124988129940e-011	1.744929e+000	2.596122e-004
3.738839262991600e-010	1.652932e+000	2.585750e-004
7.282366027170205e-010	1.561818e+000	2.572786e-004
1.082589279134881e-009	1.471589e+000	2.557232e-004
1.436941955552742e-009	1.382244e+000	2.539087e-004
1.791294631970602e-009	1.293783e+000	2.518351e-004
2.145647308388463e-009	1.206207e+000	2.495024e-004
2.499999984806323e-009	1.119514e+000	2.469107e-004
4.999999969612645e-009	5.426051e-001	2.043299e-004
6.202090518380354e-009	3.106544e-001	1.569031e-004
7.086611830670044e-009	1.911912e-001	1.106040e-004
8.207720576930007e-009	9.235906e-002	5.963541e-005
8.731534184929556e-009	6.243300e-002	4.203594e-005
9.215828056062668e-009	4.488426e-002	3.078124e-005
9.792227680706468e-009	3.029546e-002	2.108530e-005
1.042398774183155e-008	1.935527e-002	1.362966e-005
1.100086001509825e-008	1.272025e-002	9.024188e-006
1.155959199645973e-008	8.477298e-003	6.042113e-006
1.209504560750044e-008	5.766646e-003	4.122148e-006
1.269679646017461e-008	3.765719e-003	2.697447e-006
1.338030591694395e-008	2.323159e-003	1.666648e-006
1.418224423436448e-008	1.318405e-003	9.468508e-007
1.510941918294889e-008	6.849386e-004	4.922562e-007
1.623290232935082e-008	3.114145e-004	2.239060e-007
1.761330222203141e-008	1.188098e-004	8.544455e-008
1.941797271101010e-008	3.409398e-005	2.452231e-008
2.188464360314767e-008	6.030106e-006	4.337415e-009
2.563814685052542e-008	2.809304e-007	2.020789e-010
9.645770801134698e-004	8.534840e-016	2.220446e-016
9.997333301134672e-004	-6.186989e-013	-2.535774e-016
1.000000000000000e-003	-8.520372e-013	-4.440892e-016
