time	V(drain)	Id(M1)
0.000000000000000e+000	1.250000e+000	1.379548e-004
9.765624940649698e-012	1.248653e+000	1.379113e-004
1.953124988129940e-011	1.247307e+000	1.378863e-004
7.310267812714919e-010	1.149702e+000	1.368775e-004
1.442522312661685e-009	1.053283e+000	1.355931e-004
2.154017844051877e-009	9.580512e-001	1.340329e-004
2.865513375442070e-009	8.640058e-001	1.321970e-004
3.577008906832262e-009	7.711469e-001	1.300854e-004
4.288504438222455e-009	6.794746e-001	1.276981e-004
4.999999969612645e-009	5.889889e-001	1.250351e-004
6.821488692460430e-009	3.712918e-001	1.097203e-004
8.196608536888149e-009	2.334293e-001	8.689257e-005
9.462531128874645e-009	1.407476e-001	6.073522e-005
1.095711082547887e-008	6.764694e-002	3.303035e-005
1.168103284138694e-008	4.488090e-002	2.297316e-005
1.231692189156434e-008	3.221204e-002	1.681950e-005
1.306442178265053e-008	2.185278e-002	1.158800e-005
1.390164641068043e-008	1.390777e-002	7.467388e-006
1.465884812132460e-008	9.132337e-003	4.942185e-006
1.539592149171622e-008	6.082619e-003	3.307867e-006
1.614375242725020e-008	4.054643e-003	2.211986e-006
1.704756212721657e-008	2.494837e-003	1.364279e-006
1.805176033502115e-008	1.450600e-003	7.945656e-007
1.926900899116120e-008	7.538234e-004	4.133679e-007
2.067136685812397e-008	3.543428e-004	1.944415e-007
2.245442465678230e-008	1.374472e-004	7.545164e-008
2.468502707932600e-008	4.190805e-005	2.300999e-008
2.780658223694390e-008	8.077079e-006	4.435163e-009
3.233633829941083e-008	5.089645e-007	2.794871e-010
9.649029837798586e-004	2.693158e-016	0.000000e+000
9.990826712798560e-004	3.339085e-015	-2.688749e-017
1.000000000000000e-003	5.786691e-014	0.000000e+000
