time	V(drain)	Id(M1)
0.000000000000000e+000	2.000000e+000	2.217583e-004
9.765624960978488e-016	2.000000e+000	2.217323e-004
1.953124992195698e-015	2.000000e+000	2.217237e-004
7.437338168912125e-010	1.835402e+000	2.203628e-004
1.487465680657433e-009	1.672272e+000	2.187540e-004
2.231197544423653e-009	1.510608e+000	2.168974e-004
2.974929408189874e-009	1.350412e+000	2.147928e-004
3.718661271956094e-009	1.191682e+000	2.124403e-004
4.462393135722314e-009	1.034419e+000	2.098399e-004
5.206124999488533e-009	8.786235e-001	2.069916e-004
5.429339285202818e-009	8.322140e-001	2.060424e-004
5.652553570917103e-009	7.864625e-001	2.043790e-004
5.875767856631389e-009	7.413691e-001	2.020013e-004
6.098982142345675e-009	6.969336e-001	1.989094e-004
6.322196428059960e-009	6.531561e-001	1.951033e-004
6.545410713774246e-009	6.100366e-001	1.905829e-004
6.768624999488531e-009	5.675752e-001	1.853483e-004
6.991839285202817e-009	5.267040e-001	1.784375e-004
7.215053570917104e-009	4.876248e-001	1.711932e-004
7.438267856631391e-009	4.503373e-001	1.636154e-004
7.661482142345677e-009	4.148417e-001	1.557042e-004
7.884696428059963e-009	3.811378e-001	1.474594e-004
8.107910713774250e-009	3.492259e-001	1.388812e-004
8.331124999488537e-009	3.191057e-001	1.299696e-004
8.596191963774253e-009	2.862627e-001	1.196306e-004
8.861258928059969e-009	2.558409e-001	1.097139e-004
9.126325892345686e-009	2.278403e-001	1.002193e-004
9.391392856631403e-009	2.022609e-001	9.114692e-005
9.656459820917118e-009	1.791027e-001	8.249673e-005
9.921526785202835e-009	1.583657e-001	7.426871e-005
1.018659374948855e-008	1.400500e-001	6.646288e-005
1.047956249948855e-008	1.217336e-001	5.868183e-005
1.077253124948855e-008	1.055930e-001	5.160868e-005
1.106549999948856e-008	9.142271e-002	4.522813e-005
1.135846874948856e-008	7.902370e-002	3.951157e-005
1.165143749948856e-008	6.820687e-002	3.442087e-005
1.194440624948856e-008	5.879524e-002	2.991179e-005
1.223737499948857e-008	5.062538e-002	2.593667e-005
1.253034374948857e-008	4.354796e-002	2.244677e-005
1.282331249948857e-008	3.742792e-002	1.939393e-005
1.311628124948857e-008	3.214405e-002	1.673185e-005
1.340924999948857e-008	2.758834e-002	1.441686e-005
1.370221874948858e-008	2.366508e-002	1.240850e-005
1.399518749948858e-008	2.028995e-002	1.066974e-005
1.428815624948858e-008	1.738895e-002	9.167081e-006
1.458112499948858e-008	1.489738e-002	7.870452e-006
1.487409374948859e-008	1.275889e-002	6.753089e-006
1.516706249948858e-008	1.092447e-002	5.791305e-006
1.546003124948858e-008	9.351661e-003	4.964249e-006
1.575299999948858e-008	8.003728e-003	4.253649e-006
1.604596874948857e-008	6.848935e-003	3.643549e-006
1.633893749948857e-008	5.859913e-003	3.120061e-006
1.663190624948857e-008	5.013093e-003	2.671128e-006
1.692487499948857e-008	4.288194e-003	2.286309e-006
1.721784374948856e-008	3.667784e-003	1.956575e-006
1.751081249948856e-008	3.136891e-003	1.674137e-006
1.780378124948856e-008	2.682664e-003	1.432280e-006
1.809674999948855e-008	2.294079e-003	1.225224e-006
1.838971874948855e-008	1.961686e-003	1.048000e-006
1.868268749948855e-008	1.677384e-003	8.963356e-007
1.897565624948855e-008	1.434234e-003	7.665654e-007
1.926862499948854e-008	1.226293e-003	6.555434e-007
1.956159374948854e-008	1.048473e-003	5.605715e-007
1.985456249948854e-008	8.964180e-004	4.793374e-007
2.014753124948853e-008	7.664002e-004	4.098596e-007
2.044049999948853e-008	6.552297e-004	3.504408e-007
2.067766517805996e-008	5.794525e-004	3.099300e-007
2.091483035663139e-008	5.105681e-004	2.731020e-007
2.115199553520281e-008	4.485763e-004	2.399570e-007
2.138916071377424e-008	3.934772e-004	2.104948e-007
2.162632589234566e-008	3.452708e-004	1.847156e-007
2.186349107091709e-008	3.039572e-004	1.626192e-007
2.210065624948852e-008	2.695362e-004	1.442058e-007
2.242152678520280e-008	2.290775e-004	1.225632e-007
2.274239732091708e-008	1.931279e-004	1.033322e-007
2.306326785663136e-008	1.616871e-004	8.651278e-008
2.338413839234565e-008	1.347554e-004	7.210490e-008
2.370500892805993e-008	1.123326e-004	6.010858e-008
2.402587946377421e-008	9.441870e-005	5.052382e-008
2.434674999948849e-008	8.101380e-005	4.335061e-008
2.484898214234563e-008	6.375303e-005	3.411467e-008
2.535121428520277e-008	4.897570e-005	2.620754e-008
2.585344642805991e-008	3.668181e-005	1.962921e-008
2.635567857091705e-008	2.687137e-005	1.437969e-008
2.685791071377419e-008	1.954437e-005	1.045896e-008
2.736014285663132e-008	1.470081e-005	7.867039e-009
2.786237499948846e-008	1.234070e-005	6.603918e-009
2.918770982091706e-008	7.901887e-006	4.228567e-009
3.051304464234565e-008	4.359125e-006	2.332720e-009
3.183837946377424e-008	1.712411e-006	9.163766e-010
3.316371428520284e-008	-3.825355e-008	-2.046223e-011
3.448904910663143e-008	-8.928695e-007	-4.777969e-010
3.581438392806003e-008	-8.514367e-007	-4.556275e-010
3.713971874948862e-008	8.604498e-008	4.604602e-011
9.827253124949010e-008	2.417574e-019	0.000000e+000
9.993268749949014e-008	2.033449e-019	0.000000e+000
1.000000000000000e-007	1.119784e-019	0.000000e+000
