time	V(drain)	Id(M1)
0.000000000000000e+000	8.000000e-001	2.751736e-005
9.765624940649698e-012	7.997313e-001	2.751264e-005
1.953124988129940e-011	7.994627e-001	2.751007e-005
1.445312491216156e-009	7.603901e-001	2.729818e-005
2.871093732551012e-009	7.217658e-001	2.707528e-005
4.296874973885869e-009	6.835899e-001	2.684135e-005
5.722656215220724e-009	6.458624e-001	2.659639e-005
7.148437456555580e-009	6.085832e-001	2.634042e-005
8.574218697890438e-009	5.717525e-001	2.607341e-005
9.999999939225290e-009	5.353701e-001	2.579539e-005
1.999999987845058e-008	2.918354e-001	2.256361e-005
2.601898092160501e-008	1.637492e-001	1.819747e-005
3.022991967014671e-008	9.610625e-002	1.322565e-005
3.477162863530272e-008	4.768552e-002	7.607466e-006
3.805388421276713e-008	2.585585e-002	4.459715e-006
4.000943449860786e-008	1.789964e-002	3.168487e-006
4.201882436770732e-008	1.254453e-002	2.252638e-006
4.444425079564575e-008	8.089687e-003	1.470161e-006
4.667329469536669e-008	5.355118e-003	9.807799e-007
4.920681386985971e-008	3.369583e-003	6.204608e-007
5.190381189845233e-008	2.057892e-003	3.803095e-007
5.519778186888326e-008	1.130690e-003	2.094887e-007
5.889560853123986e-008	5.753993e-004	1.067805e-007
6.354912798161902e-008	2.482497e-004	4.611390e-008
6.914849342912643e-008	9.000549e-005	1.672799e-008
7.675389161213833e-008	2.325568e-005	4.323250e-009
8.710038161302478e-008	3.366340e-006	6.258694e-010
9.668157568062396e-004	2.748825e-022	0.000000e+000
9.990423193062372e-004	6.865030e-023	0.000000e+000
1.000000000000000e-003	1.415689e-020	0.000000e+000
