time	V(drain)	Id(M1)
0.000000000000000e+000	1.400000e+000	1.745279e-004
9.765624940649698e-012	1.398296e+000	1.744717e-004
1.953124988129940e-011	1.396593e+000	1.744390e-004
2.499999984806323e-009	9.735603e-001	1.680378e-004
4.999999969612645e-009	5.701010e-001	1.526302e-004
6.547981520915233e-009	3.461001e-001	1.278683e-004
7.693259596823276e-009	2.163667e-001	9.678489e-005
9.016157774274427e-009	1.137919e-001	5.861505e-005
1.015501842625494e-008	5.765478e-002	3.258653e-005
1.077833098859690e-008	3.883400e-002	2.266739e-005
1.137138288584894e-008	2.742786e-002	1.625903e-005
1.211380060462459e-008	1.761907e-002	1.058220e-005
1.278523200964173e-008	1.162713e-002	7.044170e-006
1.346856559034131e-008	7.609093e-003	4.636142e-006
1.408672052676482e-008	5.202114e-003	3.180359e-006
1.484164040909425e-008	3.297957e-003	2.021359e-006
1.564972857386009e-008	2.020831e-003	1.240794e-006
1.665367116651565e-008	1.103204e-003	6.782262e-007
1.776445844645702e-008	5.625801e-004	3.461407e-007
1.918250452419587e-008	2.411710e-004	1.484571e-007
2.087471149859614e-008	8.731348e-005	5.376161e-008
2.320348381099481e-008	2.225396e-005	1.370410e-008
2.634843833334305e-008	3.147737e-006	1.938492e-009
3.146177272926537e-008	3.809834e-008	2.346357e-011
9.650550744344980e-004	1.342242e-016	5.551115e-017
9.992347619344954e-004	8.542447e-015	-4.877625e-017
1.000000000000000e-003	3.985527e-014	0.000000e+000
