time	V(drain)	Id(M1)
0.000000000000000e+000	1.800000e+000	2.717114e-004
9.765624940649698e-012	1.797348e+000	2.716214e-004
1.953124988129940e-011	1.794696e+000	2.715678e-004
3.738839262991600e-010	1.698425e+000	2.705039e-004
7.282366027170205e-010	1.603127e+000	2.691349e-004
1.082589279134881e-009	1.508800e+000	2.674605e-004
1.436941955552742e-009	1.415445e+000	2.654810e-004
1.791294631970602e-009	1.323062e+000	2.631962e-004
2.145647308388463e-009	1.231650e+000	2.606062e-004
2.499999984806323e-009	1.141211e+000	2.577110e-004
4.999999969612645e-009	5.417215e-001	2.103326e-004
6.176486025262602e-009	3.080530e-001	1.599459e-004
7.049893652353411e-009	1.881615e-001	1.114532e-004
8.139059380597430e-009	9.126893e-002	6.002913e-005
8.645835456263775e-009	6.211444e-002	4.249025e-005
9.123472680930423e-009	4.466181e-002	3.109351e-005
9.693738846529325e-009	3.009030e-002	2.124962e-005
1.031271409235262e-008	1.927231e-002	1.376337e-005
1.088094206565874e-008	1.267555e-002	9.116995e-006
1.143029056331522e-008	8.459618e-003	6.111863e-006
1.195911701869917e-008	5.753216e-003	4.168274e-006
1.255262476886242e-008	3.757604e-003	2.727901e-006
1.322804679831203e-008	2.316606e-003	1.684250e-006
1.401919216841920e-008	1.314828e-003	9.569167e-007
1.493540053026414e-008	6.825305e-004	4.970762e-007
1.604435145753576e-008	3.102508e-004	2.260448e-007
1.740883146175787e-008	1.182026e-004	8.614101e-008
1.919117507305323e-008	3.387807e-005	2.469172e-008
2.163059594143879e-008	5.972532e-006	4.353241e-009
2.534100532628251e-008	2.737692e-007	1.995520e-010
9.645606834251315e-004	9.384854e-016	2.220446e-016
9.997169334251290e-004	-5.988426e-013	-2.444958e-016
1.000000000000000e-003	-8.442622e-013	-4.440892e-016
