time	V(drain)	Id(M1)
0.000000000000000e+000	5.500000e-001	2.828999e-006
9.765624940649698e-012	5.499724e-001	2.828624e-006
1.953124988129940e-011	5.499448e-001	2.828470e-006
1.144531243044145e-008	5.179928e-001	2.779154e-006
2.287109361100160e-008	4.867229e-001	2.730285e-006
3.429687479156175e-008	4.561351e-001	2.681862e-006
4.572265597212190e-008	4.262294e-001	2.633886e-006
5.714843715268204e-008	3.970058e-001	2.586357e-006
6.857421833324220e-008	3.684644e-001	2.539275e-006
7.999999951380232e-008	3.406050e-001	2.492640e-006
1.599999990276046e-007	1.573713e-001	2.056036e-006
2.053604886614383e-007	6.989413e-002	1.534222e-006
2.322670294511315e-007	3.266860e-002	9.912964e-007
2.516121229907281e-007	1.614893e-002	5.714461e-007
2.653661052088057e-007	9.258658e-003	3.478733e-007
2.748054521774261e-007	6.397117e-003	2.455643e-007
2.880055692419245e-007	3.858864e-003	1.505575e-007
2.999404144046025e-007	2.412157e-003	9.508077e-008
3.162835649674560e-007	1.274777e-003	5.062150e-008
3.319900774273622e-007	6.808541e-004	2.715766e-008
3.539379804657453e-007	2.911246e-004	1.164294e-008
3.775159684132069e-007	1.139166e-004	4.562784e-009
4.123088909981374e-007	3.048186e-005	1.221717e-009
4.550983173970670e-007	5.060051e-006	2.028737e-010
9.690484456138092e-004	0.000000e+000	0.000000e+000
9.993218831138068e-004	0.000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000	0.000000e+000
