time	V(drain)	Id(M1)
0.000000000000000e+000	1.900000e+000	2.056515e-004
9.765624940649698e-012	1.897992e+000	2.056079e-004
1.953124988129940e-011	1.895985e+000	2.055804e-004
7.310267812714919e-010	1.750321e+000	2.043717e-004
1.442522312661685e-009	1.606100e+000	2.028110e-004
2.154017844051877e-009	1.463322e+000	2.008984e-004
2.865513375442070e-009	1.321985e+000	1.986338e-004
3.577008906832262e-009	1.182091e+000	1.960173e-004
4.288504438222455e-009	1.043639e+000	1.930489e-004
4.999999969612645e-009	9.066293e-001	1.897285e-004
6.803929337780628e-009	5.783331e-001	1.681158e-004
8.153867636356385e-009	3.704931e-001	1.342477e-004
9.414987374281341e-009	2.274179e-001	9.462830e-005
1.089564493148580e-008	1.137945e-001	5.318334e-005
1.165398977444537e-008	7.584345e-002	3.714881e-005
1.233190331489656e-008	5.406043e-002	2.704623e-005
1.311336902235243e-008	3.648835e-002	1.855973e-005
1.390088465077009e-008	2.421460e-002	1.246735e-005
1.464664184728383e-008	1.637527e-002	8.497213e-006
1.543711272961623e-008	1.079270e-002	5.631268e-006
1.617266142538945e-008	7.292310e-003	3.818336e-006
1.692654004420528e-008	4.913717e-003	2.578834e-006
1.778890197857247e-008	3.142642e-003	1.652127e-006
1.877887830433243e-008	1.881310e-003	9.902446e-007
1.993476176754807e-008	1.033700e-003	5.445580e-007
2.129089014822425e-008	5.128739e-004	2.703303e-007
2.294531417000775e-008	2.194057e-004	1.156834e-007
2.502063580526641e-008	7.611042e-005	4.013669e-008
2.777980194431663e-008	1.875437e-005	9.890877e-009
3.168705866650430e-008	2.397717e-006	1.264574e-009
4.968043819694565e-008	3.981858e-009	2.100246e-012
9.634482614747262e-004	-5.518589e-017	0.000000e+000
9.995810739747237e-004	-1.402897e-014	-7.769338e-017
1.000000000000000e-003	-2.466278e-014	-1.110223e-016
