time	V(drain)	Id(M1)
0.000000000000000e+000	1.000000e+000	5.643857e-005
9.765624940649698e-012	9.994490e-001	5.642794e-005
1.953124988129940e-011	9.988980e-001	5.642173e-005
1.445312491216156e-009	9.190043e-001	5.589294e-005
2.871093732551012e-009	8.402428e-001	5.525265e-005
4.296874973885869e-009	7.626134e-001	5.450084e-005
5.722656215220724e-009	6.861162e-001	5.363752e-005
7.148437456555580e-009	6.107512e-001	5.266269e-005
8.574218697890438e-009	5.365184e-001	5.157634e-005
9.999999939225290e-009	4.634177e-001	5.037849e-005
1.365864981471010e-008	2.874739e-001	4.392471e-005
1.640127617089870e-008	1.772698e-001	3.453861e-005
1.882697369834622e-008	1.064725e-001	2.414851e-005
2.172775362658795e-008	5.030875e-002	1.294041e-005
2.309780298383950e-008	3.333487e-002	8.987242e-006
2.429373613160451e-008	2.400447e-002	6.597205e-006
2.571318322209243e-008	1.629335e-002	4.545724e-006
2.729806746820234e-008	1.039024e-002	2.934108e-006
2.873895574641586e-008	6.822913e-003	1.941597e-006
3.014359617430360e-008	4.563831e-003	1.304796e-006
3.178727019181005e-008	2.868668e-003	8.229270e-007
3.363772726487493e-008	1.698593e-003	4.884416e-007
3.584687758716648e-008	9.093159e-004	2.619100e-007
3.840059825878963e-008	4.413756e-004	1.272604e-007
4.158055452838110e-008	1.810708e-004	5.223866e-008
4.554227097203004e-008	5.977965e-005	1.725175e-008
5.094277152171236e-008	1.337321e-005	3.859900e-009
5.863584891841272e-008	1.349439e-006	3.895093e-010
9.655208812405723e-004	-9.745114e-019	0.000000e+000
9.997005687405697e-004	1.740165e-016	0.000000e+000
1.000000000000000e-003	2.561034e-016	0.000000e+000
