time	V(drain)	Id(M1)
0.000000000000000e+000	6.000000e-001	7.455792e-006
9.765624940649698e-012	5.999272e-001	7.454070e-006
1.953124988129940e-011	5.998544e-001	7.453346e-006
5.731026750884139e-009	5.577431e-001	7.327582e-006
1.144252225188698e-008	5.165594e-001	7.197958e-006
1.715401775288982e-008	4.763033e-001	7.064473e-006
2.286551325389266e-008	4.369748e-001	6.927128e-006
2.857700875489550e-008	3.985738e-001	6.785921e-006
3.428850425589834e-008	3.611005e-001	6.640854e-006
3.999999975690116e-008	3.245548e-001	6.491927e-006
7.258879725673102e-008	1.313022e-001	5.021945e-006
8.802216075794260e-008	5.820025e-002	3.490912e-006
9.713401578175216e-008	3.045956e-002	2.246463e-006
1.074465187369613e-007	1.228672e-002	1.021803e-006
1.110923603969022e-007	8.491900e-003	7.288468e-007
1.149678051621996e-007	6.114596e-003	5.311638e-007
1.200963813636428e-007	3.958432e-003	3.475413e-007
1.260412912522189e-007	2.356744e-003	2.086627e-007
1.326954730489892e-007	1.308643e-003	1.165278e-007
1.402529540734446e-007	6.713761e-004	5.999500e-008
1.493067930725172e-007	3.037530e-004	2.720096e-008
1.605003127882848e-007	1.146749e-004	1.028108e-008
1.750727777138688e-007	3.249255e-005	2.914754e-009
1.951058363022304e-007	5.558225e-006	4.987196e-010
9.686784888435187e-004	0.000000e+000	0.000000e+000
9.999284888435162e-004	0.000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000	0.000000e+000
