time	V(drain)	Id(M1)
0.000000000000000e+000	6.500000e-001	1.326605e-005
9.765624940649698e-012	6.498705e-001	1.326282e-005
1.953124988129940e-011	6.497410e-001	1.326136e-005
2.873883911105483e-009	6.121335e-001	1.310128e-005
5.728236572329667e-009	5.751714e-001	1.293556e-005
8.582589233553852e-009	5.388546e-001	1.276419e-005
1.143694189477804e-008	5.031833e-001	1.258719e-005
1.429129455600222e-008	4.681573e-001	1.240455e-005
1.714564721722640e-008	4.337767e-001	1.221626e-005
1.999999987845058e-008	4.000416e-001	1.202234e-005
3.999999975690116e-008	1.783023e-001	9.766203e-006
5.001496982402769e-008	8.605882e-002	7.233557e-006
5.627610453022329e-008	4.679580e-002	4.875692e-006
6.370420727111338e-008	1.854629e-002	2.233903e-006
6.646567746247356e-008	1.227589e-002	1.542739e-006
6.885097013615123e-008	9.098881e-003	1.158715e-006
7.233926295599856e-008	5.868752e-003	7.569132e-007
7.564613838306488e-008	3.823951e-003	4.975390e-007
7.987945630949362e-008	2.211684e-003	2.896760e-007
8.404140785362231e-008	1.281585e-003	1.685547e-007
8.951346168719674e-008	6.334839e-004	8.354321e-008
9.541005689750248e-008	2.935315e-004	3.877411e-008
1.034969892953551e-007	1.053002e-004	1.392179e-008
1.131128881328203e-007	3.001831e-005	3.970554e-009
1.275790271465832e-007	4.880075e-006	6.455968e-010
9.681664201246576e-004	0.000000e+000	0.000000e+000
9.994164201246551e-004	-4.717136e-022	0.000000e+000
1.000000000000000e-003	-7.536029e-022	0.000000e+000
